osm_id,status,place_id,resolved_name,resolved_lat,resolved_lng,reason
3591122817,resolved,ChIJMTHulWvLlzMRTEOPKJzayTs,FILc Coffee & Pastries,14.5334547,120.9860035,
3591144317,resolved,ChIJ5XSwj5TLlzMRCbqRxFNXgZ4,Gerry's North Wing SM Mall of Asia (Gerry's Grill),14.5361427,120.98001,
3591356946,resolved,ChIJRT_X3iSZqTMRh7SXchoKmDY,Circa 1900,10.3269731,123.9000916,
3592482764,resolved,ChIJSf0rEOObqTMRD4iMvBlybhA,Patmon's Eatery,10.2964305,123.9001417,
3592482766,resolved,ChIJv4FiWCrKlzMRkdVQ3WIOeuo,Upstage Gold,14.571229,120.98566,
3592482769,resolved,ChIJs1wu7CrKlzMRH7-oFH1Iz9k,IBUKI Cynthia,14.570268,120.98591,
3593737005,resolved,ChIJc3HJGsueqTMRTTx6qZ6Ir1I,Arano's Bar and Restaurant,10.3219787,123.8828827,
3593959648,low_confidence,ChIJXZkemoO6D4gRUltPtzOHNr4,Dondi's Pizza,42.0644128,-87.9794551,distance=13041.6km>5.0km
3593959650,resolved,ChIJLw3qAMi5lzMRVcCLVVTeZi0,Genesis Hot Pandesal Col. Divino Branch,14.6445247,121.1020732,
3593960997,low_confidence,ChIJ13ER_M23lzMRdz-7D2g1DXI,Mateo’s,14.6130178,121.0389434,distance=6.7km>5.0km
3593961004,resolved,ChIJMYuBTwC5lzMRUTHvtVlaH3w,Kowloon House Sto. Niño Marikina,14.6416373,121.0939922,
3594000841,low_confidence,ChIJLaWs3t67lzMRtVWprh2rgoA,Amy's Carinderia (Authentic Bicol Dishes & Lutong Bahay),14.6987952,121.0907693,distance=6.1km>5.0km
3594000842,resolved,ChIJWa5tvla4lzMRSuJwNtv4r1c,Bon Doys Chicken,14.6253149,121.1208136,
3594000846,resolved,ChIJiw4NOM-5lzMREG9nHvFzxzM,Triple E Bakery,14.6442985,121.0958057,
3594000867,resolved,ChIJMRaURL-5lzMRqma4lqky7NI,Comets Eatery,14.65051,121.103107,
3594003397,low_confidence,ChIJyUdOwoPJlzMRrNlXq7K1Ylc,Batangueño Eatery,14.571073,120.994315,distance=13.7km>5.0km
3594165213,low_confidence,ChIJ91fmJ1zLlzMRAeA9-rE7nyA,Jenuses KTV 제네시스,14.5718759,120.986746,name_similarity=38
3595412963,resolved,ChIJSb7IIfzVlzMRfDEp6ODKkes,8 Anchors Cultural Center,14.2848517,120.9833447,
3595628517,resolved,ChIJZ6OjKAC1lzMR1WEjtUFq_NI,Tambayan sa Sulu,14.6165303,120.9851176,
3595641227,resolved,ChIJM-sPFhHPlzMRfrBFnf5kOn0,Dunkin' - Tambo,14.5168956,120.9960872,
3595642102,resolved,ChIJUYUDaP_JlzMRA7oLTe1GTD4,KFC,14.6057759,120.9881285,
3595643247,resolved,ChIJIVbzOfq1lzMRqNf3wx6RH3A,Tayuman Street,14.61669,120.9781311,
3595652229,resolved,ChIJodnIdwTKlzMR3PaKMwf83cc,McDonald's Recto Rizal Ave,14.603605,120.981741,
3595661217,resolved,ChIJDS58uT23lzMRIjhdfDFs8jQ,Hounds and Grounds Cafè,14.6575524,120.9929158,
3595705989,resolved,ChIJFdD8AwAzljMR-fKw1uldvvc,Navarro's Bakery,14.4862178,120.8944727,
3595715469,resolved,ChIJ0xAOOTfNlzMRjjvLHRuKybs,Kumia Diner,14.4811592,120.9055252,
3595715799,resolved,ChIJRdVW5DbNlzMR2SCGf2qF66E,Topps Pizza,14.4813093,120.9054235,
3595718199,resolved,ChIJy32bwjbNlzMRvP1DgGx7HdA,New Chefoo Restaurant,14.4808388,120.9034794,
3595721770,resolved,ChIJEXR3LTTNlzMR6sRSv6R4wh0,Regal Dining Catering and Restaurant,14.480185,120.900896,
3595768047,low_confidence,ChIJKzyNsQK2lzMRdrHn37agiHg,Jig's Tapsilogan,14.608812,120.998707,name_similarity=54
3595769389,resolved,ChIJqeC1O7WtlzMR7ZzFuyJldv4,Chooks-to-Go,14.8198383,120.9628754,
3595780134,resolved,ChIJG4rxF-u3lzMR5pVihF7D7Gc,Dimsum Treats Katipunan,14.6394283,121.0742408,
3595790856,resolved,ChIJH4_6WaTJlzMRW5U3af3OsvY,Filmaris Bakery,14.5709165,121.0205962,
3595845916,resolved,ChIJaa-o9lC4lzMRvkl2oEcGJMs,HID Burgers,14.6233682,121.1169344,
3595945263,resolved,ChIJTfRwbwBdvTMRUgXtS4tijWk,Dunkin’,14.0696026,121.3247932,
3595952192,resolved,ChIJY_RLyBW2lzMRwRKxtq5_gnw,Mang Inasal Banawe St.,14.623509,121.0083603,
3597005819,resolved,ChIJ_e7hDX63lzMR5Ii2-0p45aM,Dunkin’,14.615116,120.999326,
3597046298,resolved,ChIJSy-_Yzy2lzMReQEsS1s9cwo,Andok's,14.618803,121.015332,
3597927986,resolved,ChIJq6oalpbVlzMRceD3J_Sw8X0,Balayong Bakery,14.30013,120.95775,
3597990752,resolved,ChIJnU_63sDJlzMRBxzvrAjdBCk,McDonald's,14.5980537,120.9930521,
3598009757,resolved,ChIJZdwM8ny3lzMRm_jDEPUb7Xk,Madbrews Dapitan,14.6129941,120.9893722,
3598009759,resolved,ChIJt1uPn__JlzMRR7POh_NP838,D' Cream Coffee & Tea,14.6070644,120.9889977,
3598009760,resolved,ChIJyZqaIIfJlzMR71hkrL8gj3Q,Nitz Restaurant,14.5741644,120.9905777,
3598034995,resolved,ChIJOesfpp7JlzMRCWpFt5yEZIA,Hoppers Café,14.6047501,120.987726,
3598034997,resolved,ChIJfxJpAALKlzMRxRjPyW-wUu4,Tita Bey's & Jun Fastfood,14.604623,120.9874889,
3598047866,low_confidence,ChIJeUDo41JzkIAR_rL0CoRs8dE,Raley's,38.0396968,-121.2601961,distance=11287.2km>5.0km
3598075656,low_confidence,ChIJS8rXHwAAlzMR3UAFAyQ0k0g,Baliwag,14.9656856,120.8943088,distance=41.3km>5.0km
3598085956,resolved,ChIJk_AL-gHKlzMRDAyjkiiOlx8,B.R.O Sizzling Sisig,14.6050696,120.9874684,
3598097193,resolved,ChIJjzLfgR22lzMRobeUP_j6bUA,Yvan Navy,14.6079021,121.0019746,
3599928099,resolved,ChIJixG9aDTNlzMREa8SjuKIbcI,Pan Antiqua Bakery,14.4815397,120.9005967,
3599928774,resolved,ChIJyZJQNTTNlzMReMFkVlB_CkE,Andok's,14.4801767,120.9001597,
3599941369,resolved,ChIJNR2JqzXNlzMRs09Z3MEC8r0,Goldilocks Bakeshop,14.480124,120.8990261,
3599946252,low_confidence,ChIJI7ypbhr3ljMRzh2yE3dej8w,Doña Feliza,15.0432938,120.6764834,distance=67.1km>5.0km
3600079805,resolved,ChIJb-gzABDKlzMRSzDzVQQlt64,Pac-Atlantic Warehouse,14.5878029,120.9951177,
3600090766,resolved,ChIJ2S1sTf_JlzMRfGBpjEqTzlI,Visayan's Pride Eatery,14.6045184,120.9884099,
3600098398,low_confidence,ChIJXXbnpWvIlzMRXN9NJJYpz3U,Nice Print Photography,14.575414,121.060034,distance=8.4km>5.0km
3600128380,resolved,ChIJn4b6aA-3lzMRvZaLT4vlc2I,Frapatea Cafe,14.622977,120.9896796,
3600132439,resolved,ChIJ2Q60RPjJlzMRejOcmfez3_8,Santa Barbara Ladies' Dormitory,14.6009361,120.9910269,
3600132440,resolved,ChIJTwYG_2rJlzMRIFzTWCmf8t4,NITZ FUD,14.6047763,120.9871452,
3600132442,resolved,ChIJixLT7QHKlzMRJh6h1uEJJQI,Ria Ladies Dorm Art Gallery and Restaurant,14.6048154,120.9862532,
