osm_id,name,fclass,finalCategory,latitude,longitude
4354976391,Calomintao Settlement and Farm School,school,Public Service,13.1712186,120.74174
4355268990,Pasay City Cockpit,pitch,Other,14.5490655,121.0048161
4355476689,Basketball court,community_centre,Other,13.0730452,120.7204861
4355477489,Santa Cruz Fire Station,fire_station,Public Service,13.083441,120.7179949
4356371889,Provincial Training Center Tesda -Malolos,school,Public Service,14.8480826,120.813857
4356710397,Coronado's School of Quezon City (annex),school,Public Service,14.6836627,121.0470638
4356805299,Imelda Valley Barangay Hall,town_hall,Public Service,15.5777613,121.1219931
4356826695,Health Center Lumbia District,clinic,Health,7.8299367,123.4425431
4356826697,Victoria's Closet and Beauty Center,clothes,Retail,7.827828,123.444181
4356834414,BDO,bank,Public Service,14.5243501,121.0133507
4356839892,Metro Pagadian Hospital Inc,hospital,Health,7.8281221,123.4434546
4356843001,South Hills International School of Technology,school,Public Service,7.8252983,123.4467617
4356843002,Rebecca Event Consultancy Services,clothes,Retail,7.8256277,123.448703
4357210189,PNB,bank,Public Service,15.6561949,120.7677667
4357445298,Mabantao Barangay Hall,town_hall,Public Service,7.643504,125.6754352
4357450499,Semong Barangay Hall,town_hall,Public Service,7.6350424,125.6528193
4357451096,Hephzibah Praisers Academe,school,Public Service,14.3768754,120.9292394
4357453097,Capungagan Barangay Hall,town_hall,Public Service,7.6233347,125.7022339
4358176790,Calvin Therapy Center,school,Public Service,14.6142201,120.9929503
4358211999,Generika Drug Store,chemist,Health,10.2709387,123.5838699
4358272989,Shiloh Learning Center,school,Public Service,14.572978,121.1823043
4358669492,Generika,pharmacy,Health,14.3973293,121.0452996
4358683790,Mother of Jesus Lying-in Clinic,doctors,Health,14.3916464,121.044694
4358988301,Las Casas de Naga,community_centre,Other,10.1929735,123.7412936
4359438389,Clarence Dental Clinic,dentist,Health,14.6701072,121.107859
4359700989,Novo,department_store,Retail,9.5912612,123.1206113
4359875294,St. Therese School of Technology,school,Public Service,14.5610576,121.0766778
4360773589,MI,department_store,Retail,14.3492839,120.937965
4360863990,Buenavista Health Center,clinic,Health,7.827307,123.3972312
4360892993,Napolan National High School,school,Public Service,7.8324485,123.4228977
4361149898,PS Bank,bank,Public Service,10.7186592,122.5606161
4361152693,The Generic Pharmacy,pharmacy,Health,10.723957,122.5584968
4361163491,Watsons,pharmacy,Health,10.7204317,122.5612286
4361182989,Penbank,bank,Public Service,10.7204081,122.5594902
4361251989,CFC School of the Morning Star,school,Public Service,11.0150821,124.5913027
4361368189,EastWest Unibank,bank,Public Service,13.9389429,120.7317981
4361368389,BDO,bank,Public Service,13.939246,120.7314168
4361369589,Metrobank,bank,Public Service,13.9396652,120.7327266
4361866602,Orthopeadae Frey,doctors,Health,14.5668686,121.0627762
4361891690,Theraspine Plus,doctors,Health,14.6306786,121.0335487
4362231089,Kodanda Archery Range,sports_centre,Park/Nature,14.5309151,120.9838954
4362255989,GM'S Fashion Avenue,clothes,Retail,8.9484518,125.5430582
4362287189,Landbank,bank,Public Service,14.5632213,121.0448583
4362308129,Bench,clothes,Retail,14.0709076,121.3016473
4362308135,National Book Store,bookshop,Retail,14.0706344,121.3018323
4362308137,SM Supermarket,supermarket,Retail,14.0709518,121.3026122
4362308138,The SM Store,department_store,Retail,14.0717258,121.3019397
4362308139,Toby's Sports,sports_shop,Retail,14.0714539,121.3022039
4362315104,Baloyboan Barangay Hall,town_hall,Public Service,7.8344533,123.3873767
4362317492,Baloyboan Health Center,clinic,Health,7.8340783,123.3873392
4362442089,Banco de Oro,bank,Public Service,13.5793485,124.228345
4362488589,Dumagoc Barangay Hall,town_hall,Public Service,7.8171961,123.428314
4362630592,Kidapawan Doctor's College Inc.,college,Public Service,7.0226065,125.0870631
4362723893,San Jose Fire Station,fire_station,Public Service,11.2075665,125.0228004
4362808791,Villa Rita Subdivision,community_centre,Other,11.2003785,125.0182114
4362911592,UnionBank,bank,Public Service,14.559372,121.0143097
4363119192,BDO,bank,Public Service,14.5590773,121.0154894
4363167189,Watsons Pharmacy,pharmacy,Health,14.5586777,121.0153631
4364210189,East West Bank,bank,Public Service,7.2039263,124.5417523
4364397390,Middletown Pharmacy,pharmacy,Health,14.3946415,121.0452089
4364407491,Basketball court,community_centre,Other,7.1793548,124.5166135
4364516690,Juan L. Gantuangco School of Arts and Trades,school,Public Service,7.0729262,125.0352957
4364517502,Mercury Drug,pharmacy,Health,14.4611944,120.9634774
4364556690,Unitop,department_store,Retail,7.0116227,125.088805
4364558290,Yongsoon,department_store,Retail,7.0112656,125.0886186
4364634999,BDO,bank,Public Service,14.5900214,120.997485
4364639692,Soriano Medical Plaza,clinic,Health,14.4625619,120.9634579
4364658995,BPI,bank,Public Service,14.5869942,120.9954987
4364659397,Mercury Drug,pharmacy,Health,14.5872927,120.9957635
4364659398,National Book Store,bookshop,Retail,14.5876982,120.9961838
4364698094,Robinsons Supermarket,supermarket,Retail,14.5870916,120.9958185
4364717889,UnionBank,bank,Public Service,14.5898952,120.9973533
4364717989,EastWest Unibank,bank,Public Service,14.5897735,120.9972593
4364718189,LBC,post_office,Public Service,14.5872465,120.9957356
4365097289,BDO,bank,Public Service,7.1891888,124.5339265
4365874494,Crings Branded Used Clothing,clothes,Retail,7.1913165,124.5355463
4365902590,Makilala Multi-purpose Cooperative,community_centre,Other,7.191343,124.5355617
4366183589,DentScan,clinic,Health,14.0702634,121.3270019
4366690695,Robinsonsbank,bank,Public Service,14.5895758,121.0357662
4367174191,Superama,supermarket,Retail,7.1071317,124.8261344
4367302201,TGP,pharmacy,Health,14.5892529,121.0351579
4367316201,Calabasa Brgy Hall,town_hall,Public Service,15.5282361,121.2770341
4367338689,Savemore Binangonan,supermarket,Retail,14.4941819,121.1807341
4367373191,White Beach Barangay Hall,town_hall,Public Service,7.8154583,123.44767
4367596702,Asia United Bank,bank,Public Service,11.0083112,124.6075176
4367706792,Oriental Mindoro Institute,school,Public Service,12.9247533,121.46958
4368740289,Friendship United Methodist Church,kindergarten,Public Service,15.1622171,120.5576078
4368818192,Purple Bee Drustore,chemist,Health,14.852342,120.2528248
4368868290,Bulanao Sub-station COMPAC,police,Public Service,17.4117366,121.4433021
4368901289,Savemore Market,supermarket,Retail,16.5151126,121.1814335
4368952590,Kalye Sikanan (Crossfit),fitness_centre,Other,15.1443718,120.5605529
4368976399,Lourdes College Learning Commons,library,Public Service,8.477285,124.6423636
4368981389,Macasandal Barangay Hall,town_hall,Public Service,15.4580881,121.3401624
4368992029,Kaisha,clothes,Retail,9.7888682,125.492503
4368992176,Cruzado Dental Clinic,dentist,Health,9.7886076,125.4927543
4369338989,Marasigan Garden,florist,Retail,14.4194041,120.8988592
4369771695,Froebel Academy of Pangasinan Inc.,school,Public Service,15.9765919,120.6003669
4369804591,Apple & Eve,clothes,Retail,14.3124205,121.0989047
4369804593,Bayo,clothes,Retail,14.3120311,121.099184
4369804594,Bear Cuddle,toy_shop,Retail,14.3122125,121.0988806
4369804596,Blue Magic,toy_shop,Retail,14.3117458,121.0992927
4369804597,Booksale,bookshop,Retail,14.311581,121.0993513
4369804598,Bubi,playground,Park/Nature,14.3118103,121.0992681
4369804599,Chinabank,bank,Public Service,14.3121943,121.0981939
4369804604,Dickies,clothes,Retail,14.3119612,121.0992106
4369804609,Gennevieve Gozum,clothes,Retail,14.3117759,121.0992812
4369804618,Me,clothes,Retail,14.3116592,121.0993252
4369804619,Mendrez,clothes,Retail,14.3124023,121.0988511
4369804620,Motoactive,clothes,Retail,14.3118583,121.0992498
4369804622,National Book Store,bookshop,Retail,14.3145204,121.0986245
4369804624,Orodiam,jeweller,Retail,14.3122749,121.0990657
4369804625,Oxygen,clothes,Retail,14.3121184,121.0991507
4369804627,Penshoppe,clothes,Retail,14.3124776,121.0990388
4369804628,Pink Box,clothes,Retail,14.3121736,121.0987626
4369804629,Primadonna,shoe_shop,Retail,14.3118942,121.0992361
4369804631,SF Plus,clothes,Retail,14.3123373,121.0986419
4369804632,SM Supermarket,supermarket,Retail,14.3116927,121.0986338
4369804633,Scoop,clothes,Retail,14.3123633,121.0987331
4369804636,Sportshouse,sports_shop,Retail,14.3121658,121.0991327
4369804639,Tribal,clothes,Retail,14.311701,121.0993097
4369804641,Unica Hija,clothes,Retail,14.3120751,121.0991673
4369804642,Unisilver,jeweller,Retail,14.3122593,121.0990147
4369988796,The SM Store,department_store,Retail,14.3129503,121.0980182
4370061800,Talbak Barangay Hall,town_hall,Public Service,15.0891223,121.0940854
4370394092,Almar's,clothes,Retail,14.6112359,121.0557312
4370394094,CornerStone Christian Progressive School,school,Public Service,8.9477517,125.5024794
4370423790,Philippine Martial Arts Supplies,sports_shop,Retail,14.5888958,120.9986796
4370555189,Von Lazaro Design,clothes,Retail,14.5657338,121.0051058
4370660676,Poblacion North Barangay Hall,town_hall,Public Service,15.4568458,121.3332423
4370660685,Camachile Barangay Hall,town_hall,Public Service,15.4611026,121.3177324
4370905129,JMJ Shoes & Slippers,shoe_shop,Retail,14.1132896,121.5572762
4371643561,The Generic Pharmacy,pharmacy,Health,13.4424824,120.7277754
4373135292,Likhaan,clinic,Health,14.6631479,121.0404882
4373197592,Security Bank,bank,Public Service,14.558488,121.0143306
4373260790,LBC,post_office,Public Service,15.4865788,120.9623998
4373278598,Al-Falah Islamic Academy,school,Public Service,14.5949184,121.1302779
4373727701,BPI,bank,Public Service,14.6571856,121.0243269
4374208893,Pinamalisan Barangay Hall,town_hall,Public Service,15.4241086,121.3594727
4375046053,Endan Barber Shop,hairdresser,Other,11.1595579,124.9902191
4375071789,Banale Barangay Hall,town_hall,Public Service,7.8337607,123.425174
4375071790,Health Center,clinic,Health,7.8337479,123.4253806
4375154693,Triple-M Pharmacy,pharmacy,Health,7.8444793,123.4280857
4375161594,Chinabank,bank,Public Service,14.5686924,120.992608
4375181092,JOS-Pharmacy,pharmacy,Health,7.84452,123.4281118
4375185889,Farmacia Hervi,pharmacy,Health,7.8442557,123.4280825
4375194890,Botika ng Zamboanga Del Sur,pharmacy,Health,7.8444034,123.4303587
4375248398,Generika,pharmacy,Health,14.346583,121.0643132
4375248498,TGP,pharmacy,Health,14.3388366,121.0823983
4375251600,Haddassah Academy,school,Public Service,14.3459348,121.0598748
4375251601,Rite Aid,pharmacy,Health,14.3467674,121.0641578
4375251696,TGP,pharmacy,Health,14.3514387,121.0635403
4375263389,"Joanna Paola Juego-Chavez, DDM",dentist,Health,14.3459188,121.0593129
4375275990,China Bank Savings,bank,Public Service,14.3494299,121.0646069
4375348789,PTANZO Prime Goods Source,supermarket,Retail,14.1142911,122.9537773
4375537889,3 Kids Barbershop,hairdresser,Other,14.6426748,121.0993358
4375537890,Lord of the Nation,community_centre,Other,14.6426024,121.0995738
4375571291,The Generics,pharmacy,Health,14.4754857,121.0448717
4375598525,RJM Pharmacy,pharmacy,Health,11.1232835,122.5395362
4375599792,Dr. Palma Residence,dentist,Health,11.1220541,122.5419313
4375671899,BDO,bank,Public Service,14.6217609,121.0641208
4376019790,Racer HQ,clinic,Health,14.6226319,121.0964979
4376696589,Metrobank,bank,Public Service,14.6135653,120.9888022
4376888459,Lapu-lapu barangay hall,town_hall,Public Service,6.9036154,126.1055625
4376940868,PSBank,bank,Public Service,13.3550907,123.7304749
4376941011,Generika,pharmacy,Health,13.3583952,123.7302427
4377351824,TGP,pharmacy,Health,14.6206639,121.0630768
4378049490,TLC,kindergarten,Public Service,14.595691,121.0391673
4378223207,"Toolec, Inc.",outdoor_shop,Retail,14.6097624,121.0761253
4378353091,Lala Barangay Hall,town_hall,Public Service,7.8377955,123.3444016
4378461590,Gubang Brangay Hall,town_hall,Public Service,7.8915967,123.37163
4378503990,Health Center,clinic,Health,7.891856,123.371302
4378821974,Gabaldon Police Station,police,Public Service,15.4563691,121.3373055
4378873489,Pia Hair Salon,hairdresser,Other,14.3594685,121.033181
4379050084,Asia United Bank,bank,Public Service,14.2047778,121.1567684
4379050085,BPI,bank,Public Service,14.2097395,121.154294
4379050086,China Bank Savings,bank,Public Service,14.2049728,121.1566396
4379050088,Sterling Bank of Asia,bank,Public Service,14.203932,121.1573806
4379151485,Mission Agape Clinic,clinic,Health,14.1791231,121.2384881
4380158197,BDO,bank,Public Service,14.5013136,120.992078
4380242888,Mater Christi School,school,Public Service,14.638707,121.0733752
4381059894,Rose Pharmacy,pharmacy,Health,14.4175699,121.0400891
4381072091,Plains & Prints,clothes,Retail,14.4180037,121.0412135
